name,no_accounts
"Retha Sears",3
"Shawanda Selke",3
"Ernestine Pickron",3
"Ayesha Monica",3
"Cordell Rieder",3
"Akilah Drinkard",3
"Silvana Virden",3
"Nakesha Renn",3
"Renetta Carew",4
"Cara Clarke",4
"Lavera Oles",4
"Julie Starr",4
"Kathleen Lalonde",4
"Sherlene Wetherington",5
"Chau Rowles",5
"Carletta Kosinski",5
"Eugena Esser",6
"Samuel Racine",6
"Sibyl Lauria",6
"Necole Victory",6
"Elba Felder",6
"Debroah Wardle",6
"Michel Averette",7
"Elna Condello",7
"Gianna Dossey",7
"Charles Bidwell",7
"Cliff Meints",7
"Derrick Boggess",7
"Babette Soukup",7
"Nelle Meaux",7
"Soraya Fulton",7
"Delilah Krum",8
"Tia Amato",8
"Julia Behrman",8
"Marquetta Laycock",9
"Dawna Agnew",9
"Elwood Shutt",9
"Moon Torian",10
"Saran Ram",10
"Brandie Riva",10
"Arica Stoltzfus",10
"Hilma Busick",10
"Earlie Schleusner",11
"Dorotha Seawell",11
"Maren Musto",11
"Calvin Ollison",11
"Vernita Plump",11
"Maryanna Fiorentino",11
"Micha Woodford",11
"Georgianna Chisholm",15
