rep_name,channel,occurences
"Earlie Schleusner",direct,234
"Vernita Plump",direct,232
"Moon Torian",direct,194
"Georgianna Chisholm",direct,188
"Tia Amato",direct,185
"Maren Musto",direct,184
"Nelle Meaux",direct,179
"Maryanna Fiorentino",direct,168
"Dorotha Seawell",direct,161
"Charles Bidwell",direct,159
"Sibyl Lauria",direct,147
"Elna Condello",direct,146
"Michel Averette",direct,145
"Micha Woodford",direct,145
"Delilah Krum",direct,144
"Elwood Shutt",direct,141
"Gianna Dossey",direct,140
"Arica Stoltzfus",direct,140
"Calvin Ollison",direct,139
"Hilma Busick",direct,137
"Brandie Riva",direct,132
"Cliff Meints",direct,122
"Necole Victory",direct,109
"Julia Behrman",direct,102
"Samuel Racine",direct,99
"Dawna Agnew",direct,91
"Saran Ram",direct,86
"Eugena Esser",direct,85
"Debroah Wardle",direct,83
"Derrick Boggess",direct,80
"Ayesha Monica",direct,70
"Cordell Rieder",direct,67
"Marquetta Laycock",direct,66
"Ernestine Pickron",direct,65
"Shawanda Selke",direct,64
"Babette Soukup",direct,59
"Renetta Carew",direct,58
"Elba Felder",direct,54
"Carletta Kosinski",direct,54
"Akilah Drinkard",direct,53
"Maryanna Fiorentino",adwords,53
"Lavera Oles",direct,52
"Sherlene Wetherington",direct,50
"Retha Sears",direct,49
"Maren Musto",organic,49
"Chau Rowles",direct,48
"Soraya Fulton",direct,46
"Maren Musto",facebook,44
"Tia Amato",facebook,43
"Vernita Plump",adwords,43
"Cara Clarke",direct,42
"Silvana Virden",direct,42
"Maryanna Fiorentino",facebook,41
"Vernita Plump",organic,40
"Elna Condello",facebook,39
"Moon Torian",facebook,38
"Maryanna Fiorentino",organic,37
"Earlie Schleusner",facebook,36
"Vernita Plump",facebook,36
"Dorotha Seawell",organic,36
"Maren Musto",adwords,35
"Tia Amato",organic,34
"Moon Torian",organic,34
"Arica Stoltzfus",organic,34
"Micha Woodford",facebook,33
"Delilah Krum",organic,32
"Dorotha Seawell",facebook,32
"Arica Stoltzfus",facebook,32
"Elna Condello",organic,31
"Earlie Schleusner",organic,31
"Moon Torian",adwords,31
"Michel Averette",facebook,30
"Nelle Meaux",adwords,30
"Delilah Krum",facebook,29
"Hilma Busick",organic,29
"Arica Stoltzfus",adwords,29
"Julie Starr",direct,28
"Nelle Meaux",organic,28
"Georgianna Chisholm",organic,28
"Tia Amato",adwords,27
"Charles Bidwell",facebook,27
"Brandie Riva",organic,27
"Sibyl Lauria",facebook,26
"Elna Condello",adwords,26
"Gianna Dossey",adwords,26
"Debroah Wardle",facebook,26
"Earlie Schleusner",adwords,26
"Saran Ram",adwords,26
"Michel Averette",organic,25
"Gianna Dossey",facebook,25
"Saran Ram",facebook,25
"Dorotha Seawell",adwords,25
"Brandie Riva",facebook,25
"Kathleen Lalonde",direct,24
"Michel Averette",adwords,24
"Delilah Krum",adwords,24
"Saran Ram",organic,24
"Brandie Riva",adwords,24
"Georgianna Chisholm",adwords,24
"Dawna Agnew",adwords,24
"Micha Woodford",organic,24
"Sibyl Lauria",adwords,23
"Cliff Meints",facebook,23
"Earlie Schleusner",banner,23
"Elwood Shutt",adwords,23
"Micha Woodford",banner,23
"Necole Victory",adwords,22
"Ayesha Monica",organic,22
"Julia Behrman",organic,22
"Calvin Ollison",facebook,22
"Nelle Meaux",facebook,22
"Hilma Busick",facebook,22
"Micha Woodford",adwords,22
"Cliff Meints",adwords,21
"Cliff Meints",organic,21
"Delilah Krum",twitter,21
"Maren Musto",twitter,21
"Calvin Ollison",organic,21
"Calvin Ollison",adwords,21
"Hilma Busick",adwords,21
"Sibyl Lauria",organic,20
"Ernestine Pickron",adwords,20
