rep_name,Number,top_or_not
"Earlie Schleusner",335,top
"Vernita Plump",299,top
"Tia Amato",267,top
"Georgianna Chisholm",256,top
"Moon Torian",250,top
"Nelle Meaux",241,top
"Maren Musto",224,top
"Dorotha Seawell",208,top
"Charles Bidwell",205,top
"Maryanna Fiorentino",204,top
"Calvin Ollison",199,not
"Sibyl Lauria",193,not
"Elwood Shutt",191,not
"Hilma Busick",191,not
"Arica Stoltzfus",186,not
"Delilah Krum",185,not
"Gianna Dossey",184,not
"Micha Woodford",179,not
"Michel Averette",173,not
"Elna Condello",168,not
"Brandie Riva",167,not
"Cliff Meints",151,not
"Necole Victory",136,not
"Samuel Racine",134,not
"Debroah Wardle",116,not
"Dawna Agnew",116,not
"Eugena Esser",116,not
"Julia Behrman",115,not
"Saran Ram",106,not
"Derrick Boggess",102,not
"Shawanda Selke",100,not
"Cordell Rieder",99,not
"Marquetta Laycock",90,not
"Ernestine Pickron",89,not
"Ayesha Monica",86,not
"Renetta Carew",83,not
"Lavera Oles",73,not
"Akilah Drinkard",66,not
"Silvana Virden",65,not
"Retha Sears",64,not
"Chau Rowles",63,not
"Sherlene Wetherington",63,not
"Elba Felder",62,not
"Carletta Kosinski",61,not
"Babette Soukup",60,not
"Soraya Fulton",54,not
"Cara Clarke",54,not
"Kathleen Lalonde",35,not
"Julie Starr",35,not
"Nakesha Renn",13,not
