rep_name,Number,total_sales,tmn
"Earlie Schleusner",335,1098137.7199999997,top
"Tia Amato",267,1010690.5999999995,top
"Vernita Plump",299,934212.9299999992,top
"Georgianna Chisholm",256,886244.1200000006,top
"Arica Stoltzfus",186,810353.3400000003,top
"Dorotha Seawell",208,766935.0400000002,top
"Nelle Meaux",241,749076.1599999999,top
"Sibyl Lauria",193,722084.2700000001,middle
"Maren Musto",224,702697.2899999999,top
"Brandie Riva",167,675917.6400000001,middle
"Charles Bidwell",205,675637.1899999995,top
"Elwood Shutt",191,662500.24,middle
"Maryanna Fiorentino",204,655954.74,top
"Moon Torian",250,650393.5200000006,top
"Hilma Busick",191,622808.04,middle
"Dawna Agnew",116,604519.3799999997,middle
"Calvin Ollison",199,594516.08,middle
"Cliff Meints",151,556105.3400000001,middle
"Gianna Dossey",184,550973.02,middle
"Michel Averette",173,523977.05999999994,middle
"Delilah Krum",185,512179.11,middle
"Elna Condello",168,508913.0499999998,middle
"Micha Woodford",179,488448.47000000026,middle
"Necole Victory",136,475282.05,low
"Samuel Racine",134,470408.98000000004,low
"Cordell Rieder",99,447934.79999999993,low
"Julia Behrman",115,447712.90999999986,low
"Derrick Boggess",102,383933.65,low
"Saran Ram",106,362689.33999999997,low
"Renetta Carew",83,330188.68999999994,low
"Shawanda Selke",100,327828.61,low
"Eugena Esser",116,311801.45000000007,low
"Marquetta Laycock",90,307940.9399999999,low
"Debroah Wardle",116,293374.01,low
"Ernestine Pickron",89,283243.24999999994,low
"Retha Sears",64,283203.0300000001,low
"Silvana Virden",65,262170.63999999996,low
"Lavera Oles",73,258316.81000000006,low
"Sherlene Wetherington",63,218909.58000000002,low
"Ayesha Monica",86,217146.58999999997,low
"Babette Soukup",60,215905.27000000002,low
"Carletta Kosinski",61,213032.45,low
"Soraya Fulton",54,210436.04999999996,low
"Chau Rowles",63,184282.6,low
"Cara Clarke",54,166138.65000000002,low
"Akilah Drinkard",66,136613.99000000005,low
"Kathleen Lalonde",35,116307.79000000001,low
"Elba Felder",62,114976.59000000003,low
"Julie Starr",35,89097.65,low
"Nakesha Renn",13,49361.11,low
