primary_poc,channel,occurred_at,name
"Tamara Tuma",direct,2015-10-06T17:13:58.000Z,Walmart
"Tamara Tuma",direct,2015-11-05T03:08:26.000Z,Walmart
"Tamara Tuma",direct,2015-12-04T03:57:24.000Z,Walmart
"Tamara Tuma",direct,2016-01-02T00:55:03.000Z,Walmart
"Tamara Tuma",direct,2016-02-01T19:02:33.000Z,Walmart
"Tamara Tuma",direct,2016-03-02T15:15:22.000Z,Walmart
"Tamara Tuma",direct,2016-04-01T10:58:55.000Z,Walmart
"Tamara Tuma",direct,2016-05-01T15:26:44.000Z,Walmart
"Tamara Tuma",direct,2016-05-31T20:53:47.000Z,Walmart
"Tamara Tuma",direct,2016-06-30T12:09:45.000Z,Walmart
"Tamara Tuma",direct,2016-07-30T03:06:26.000Z,Walmart
"Tamara Tuma",direct,2016-08-28T06:42:42.000Z,Walmart
"Tamara Tuma",direct,2016-09-26T23:14:59.000Z,Walmart
"Tamara Tuma",direct,2016-10-26T20:21:09.000Z,Walmart
"Tamara Tuma",direct,2016-11-25T22:52:29.000Z,Walmart
"Tamara Tuma",direct,2016-12-24T05:35:14.000Z,Walmart
"Tamara Tuma",facebook,2015-10-06T04:22:11.000Z,Walmart
"Tamara Tuma",organic,2015-10-22T05:02:47.000Z,Walmart
"Tamara Tuma",adwords,2015-10-22T14:04:20.000Z,Walmart
"Tamara Tuma",direct,2015-11-05T17:18:54.000Z,Walmart
"Tamara Tuma",direct,2015-12-11T08:44:16.000Z,Walmart
"Tamara Tuma",adwords,2016-01-01T15:45:54.000Z,Walmart
"Tamara Tuma",direct,2016-01-13T19:31:14.000Z,Walmart
"Tamara Tuma",adwords,2016-02-07T17:44:10.000Z,Walmart
"Tamara Tuma",organic,2016-02-27T15:27:22.000Z,Walmart
"Tamara Tuma",twitter,2016-03-17T19:54:58.000Z,Walmart
"Tamara Tuma",organic,2016-04-05T03:02:52.000Z,Walmart
"Tamara Tuma",organic,2016-04-17T16:41:02.000Z,Walmart
"Tamara Tuma",direct,2016-05-01T14:26:40.000Z,Walmart
"Tamara Tuma",banner,2016-05-07T02:28:31.000Z,Walmart
"Tamara Tuma",organic,2016-05-21T16:22:01.000Z,Walmart
"Tamara Tuma",facebook,2016-06-02T04:41:31.000Z,Walmart
"Tamara Tuma",adwords,2016-06-22T13:48:53.000Z,Walmart
"Tamara Tuma",banner,2016-07-12T22:43:02.000Z,Walmart
"Tamara Tuma",direct,2016-07-26T11:29:09.000Z,Walmart
"Tamara Tuma",banner,2016-07-26T21:08:52.000Z,Walmart
"Tamara Tuma",organic,2016-08-12T09:31:22.000Z,Walmart
"Tamara Tuma",direct,2016-09-01T18:33:56.000Z,Walmart
"Tamara Tuma",adwords,2016-09-11T17:06:53.000Z,Walmart
