rep_name,acc_name,region
"Sibyl Lauria",3M,Northeast
"Chau Rowles","Abbott Laboratories",Midwest
"Julie Starr",AbbVie,Midwest
"Earlie Schleusner",ADP,Southeast
"Marquetta Laycock","Advance Auto Parts",West
"Moon Torian",AECOM,Southeast
"Calvin Ollison",AES,Southeast
"Renetta Carew",Aetna,Northeast
"Cliff Meints",Aflac,Midwest
"Elba Felder",AIG,Northeast
"Georgianna Chisholm","Air Products & Chemicals",West
"Chau Rowles",Alcoa,Midwest
"Julia Behrman",Allstate,Northeast
"Georgianna Chisholm","Ally Financial",West
"Tia Amato",Alphabet,Northeast
"Charles Bidwell","Altria Group",Midwest
"Nakesha Renn",Amazon.com,Northeast
"Samuel Racine","American Airlines Group",Northeast
"Earlie Schleusner","American Electric Power",Southeast
"Julia Behrman","American Express",Northeast
"Hilma Busick","American Family Insurance Group",West
"Vernita Plump","Ameriprise Financial",Southeast
"Ayesha Monica",AmerisourceBergen,Northeast
"Delilah Krum",Amgen,Midwest
"Georgianna Chisholm","Anadarko Petroleum",West
"Ayesha Monica",Anthem,Northeast
"Michel Averette",Apple,Northeast
"Arica Stoltzfus","Applied Materials",West
"Vernita Plump",Aramark,Southeast
"Gianna Dossey","Archer Daniels Midland",Northeast
"Charles Bidwell","Arrow Electronics",Midwest
"Arica Stoltzfus",Assurant,West
"Necole Victory",AT&T,Northeast
"Dawna Agnew",Autoliv,West
"Delilah Krum",AutoNation,Midwest
"Dawna Agnew",AutoZone,West
"Arica Stoltzfus","Avis Budget Group",West
"Elna Condello",Avnet,Northeast
"Maren Musto","Baker Hughes",Southeast
"Dawna Agnew",Ball,West
"Cara Clarke","Bank of America Corp.",Northeast
"Vernita Plump","Bank of New York Mellon Corp.",Southeast
"Elwood Shutt","Baxter International",West
"Marquetta Laycock","BB&T Corp.",West
"Georgianna Chisholm","Becton Dickinson",West
"Calvin Ollison","Bed Bath & Beyond",Southeast
"Renetta Carew","Berkshire Hathaway",Northeast
"Eugena Esser","Best Buy",Northeast
"Marquetta Laycock",Biogen,West
"Moon Torian",BlackRock,Southeast
"Michel Averette",Boeing,Northeast
"Georgianna Chisholm",BorgWarner,West
"Maren Musto","Bristol-Myers Squibb",Southeast
"Elwood Shutt",Broadcom,West
"Maren Musto","C.H. Robinson Worldwide",Southeast
"Micha Woodford","Cameron International",West
"Marquetta Laycock","Campbell Soup",West
"Delilah Krum","Capital One Financial",Midwest
"Debroah Wardle","Cardinal Health",Northeast
"Saran Ram",CarMax,Southeast
"Silvana Virden",Caterpillar,Northeast
"Micha Woodford","CBRE Group",West
"Babette Soukup",CBS,Southeast
"Calvin Ollison",CDW,Southeast
"Arica Stoltzfus",Celgene,West
"Cordell Rieder",Centene,Midwest
"Vernita Plump",CenturyLink,Southeast
"Brandie Riva","Charter Communications",West
"Babette Soukup","Chesapeake Energy",Southeast
"Julia Behrman",Chevron,Northeast
"Tia Amato",CHS,Northeast
"Julia Behrman",Cigna,Northeast
"Ayesha Monica","Cisco Systems",Northeast
"Shawanda Selke",Citigroup,Northeast
"Gianna Dossey",Coca-Cola,Northeast
"Dorotha Seawell","Cognizant Technology Solutions",Southeast
"Nelle Meaux",Colgate-Palmolive,Southeast
"Akilah Drinkard",Comcast,Northeast
"Sherlene Wetherington","Community Health Systems",Midwest
"Calvin Ollison","Computer Sciences",Southeast
"Moon Torian","ConAgra Foods",Southeast
"Necole Victory",ConocoPhillips,Northeast
"Saran Ram","Consolidated Edison",Southeast
"Maryanna Fiorentino","Core-Mark Holding",West
"Marquetta Laycock",Corning,West
"Tia Amato",Costco,Northeast
"Hilma Busick","Crown Holdings",West
"Micha Woodford","CST Brands",West
"Saran Ram",CSX,Southeast
"Delilah Krum",Cummins,Midwest
"Elba Felder","CVS Health",Northeast
"Dawna Agnew","D.R. Horton",West
"Carletta Kosinski",Danaher,Midwest
"Calvin Ollison","DaVita HealthCare Partners",Southeast
"Brandie Riva","Dean Foods",West
"Elba Felder",Deere,Northeast
"Eugena Esser","Delta Air Lines",Northeast
"Moon Torian","Devon Energy",Southeast
"Marquetta Laycock","Discover Financial Services",West
"Dorotha Seawell","DISH Network",Southeast
